month,day,hour,kw
4,1,0,0.893853687221339
4,1,1,0.7900608440502741
4,1,2,0.7948574578841223
4,1,3,0.7126559804920944
4,1,4,0.24357084433757126
4,1,5,0.20985996201994728
4,1,6,0.27853703621651105
4,1,7,0.2506246905081651
4,1,8,0.3381945534137223
4,1,9,0.37604119261455676
4,1,10,0.21219892260394235
4,1,11,0.2038487892335797
4,1,12,0.2503116031098801
4,1,13,0.2831141060743683
4,1,14,0.889479097725838
4,1,15,0.25223612073502943
4,1,16,0.20638211157368996
4,1,17,0.2958699866586189
4,1,18,0.2607494075662188
4,1,19,0.27152886718690883
4,1,20,0.2575604206080676
4,1,21,1.5715255378184276
4,1,22,1.4711082484855407
4,1,23,0.9376735043560311
4,2,0,0.7762521873673766
4,2,1,0.7048851918511019
4,2,2,0.7454184064150317
4,2,3,0.6835967719862044
4,2,4,0.2032327276317196
4,2,5,0.21280554095739806
4,2,6,0.25100524094612325
4,2,7,0.24716163543474376
4,2,8,0.35891481165785427
4,2,9,0.3594285292333167
4,2,10,0.2273126851718008
4,2,11,0.27680019042954807
4,2,12,0.2413591624327256
4,2,13,0.22606836687976406
4,2,14,1.0986222291971854
4,2,15,0.2785830502150065
4,2,16,0.2176917636971395
4,2,17,0.23098892786578804
4,2,18,0.23465601642886674
4,2,19,0.27830050706506476
4,2,20,0.27271221764451775
4,2,21,1.200794475368816
4,2,22,1.2067053334631175
4,2,23,1.1249559228918629
4,3,0,0.7880602295511767
4,3,1,0.6620388236787454
4,3,2,0.7379955566287811
4,3,3,0.6205974944115147
4,3,4,0.28354673773104916
4,3,5,0.21017336471830805
4,3,6,0.2617748813794777
4,3,7,0.2761301798625836
4,3,8,0.3412741426637755
4,3,9,0.38252917910904277
4,3,10,0.2860245033117696
4,3,11,0.21630687096584766
4,3,12,0.23640868782378538
4,3,13,0.29876613239816263
4,3,14,0.9913327351520873
4,3,15,0.20965947599708942
4,3,16,0.23300109015058781
4,3,17,0.29595798891950975
4,3,18,0.21478882738900498
4,3,19,0.2913703743334901
4,3,20,0.26063983943524366
4,3,21,1.4558228932625217
4,3,22,1.433544896057518
4,3,23,0.9520900561448102
4,4,0,0.82191341322679
4,4,1,0.861398940536563
4,4,2,0.6614606254099995
4,4,3,0.778726690470862
4,4,4,0.25276204617559594
4,4,5,0.2051598751526091
4,4,6,0.20519871056045905
4,4,7,0.261812326331273
4,4,8,0.3791764569765561
4,4,9,0.3843902391145391
4,4,10,0.26051427643494424
4,4,11,0.29216119469201957
4,4,12,0.2607673035713769
4,4,13,0.2945030917894281
4,4,14,1.033642143798325
4,4,15,0.26994219965454924
4,4,16,0.24321827967118365
4,4,17,0.25371621951098733
4,4,18,0.2065713799416264
4,4,19,0.260244614044432
4,4,20,0.29969349673252665
4,4,21,1.485697249430443
4,4,22,1.2451357697100083
4,4,23,1.0702588670454292
4,5,0,0.6528465588357966
4,5,1,0.7008382267616687
4,5,2,0.8946553114173509
4,5,3,0.7397273246716691
4,5,4,0.22591744768711303
4,5,5,0.2901359462350143
4,5,6,0.244496015888446
4,5,7,0.22566438215898868
4,5,8,0.34938924490030004
4,5,9,0.38451958062248115
4,5,10,0.2673646829823225
4,5,11,0.2520607819718214
4,5,12,0.2167328216211056
4,5,13,0.21988853929719693
4,5,14,0.9964461109475257
4,5,15,0.2072097192693613
4,5,16,0.24134988908956911
4,5,17,0.2531724830376634
4,5,18,0.25637554244329025
4,5,19,0.2744473411716195
4,5,20,0.22992827247582373
4,5,21,1.4021316258862457
4,5,22,1.4961927321803143
4,5,23,0.9464424578643411
4,6,0,0.8076782452446647
4,6,1,0.6165481752318634
4,6,2,0.8898833799907295
4,6,3,0.7631260406271566
4,6,4,0.23753481858809788
4,6,5,0.22858496753158375
4,6,6,0.2699100188599801
4,6,7,0.20376646337661275
4,6,8,0.3954568632894884
4,6,9,0.33081400953758455
4,6,10,0.2578432889715835
4,6,11,0.2004434835109273
4,6,12,0.24404356455836923
4,6,13,0.24302191200865436
4,6,14,1.0965187575925692
4,6,15,0.2900696854081623
4,6,16,0.28217042990293406
4,6,17,0.2527465117956655
4,6,18,0.21786456126128256
4,6,19,0.2973168018715139
4,6,20,0.20492156053161203
4,6,21,1.361377670800212
4,6,22,1.2176730449734368
4,6,23,1.178776032758552
4,7,0,0.8055376207677384
4,7,1,0.8106313325388476
4,7,2,0.6573678125693591
4,7,3,0.7842454507218285
4,7,4,0.2797054188039044
4,7,5,0.2188864482051361
4,7,6,0.2286254746819081
4,7,7,0.26733374638767066
4,7,8,0.3340040403740675
4,7,9,0.37153903533922567
4,7,10,0.20829806189032443
4,7,11,0.22670316231691495
4,7,12,0.26531626826635124
4,7,13,0.27175632760078183
4,7,14,0.9005625598906858
4,7,15,0.22711019545806274
4,7,16,0.22840418656810704
4,7,17,0.22399130251198007
4,7,18,0.25514452330730963
4,7,19,0.28241672242030136
4,7,20,0.25074072693698307
4,7,21,1.2418416294544263
4,7,22,1.209665175142068
4,7,23,1.1468239123385375
4,8,0,0.7237602923084534
4,8,1,0.7481231245357731
4,8,2,0.7581939227772703
4,8,3,0.6671299824637698
4,8,4,0.23583812339055168
4,8,5,0.21498842450857356
4,8,6,0.20836524251043448
4,8,7,0.24838570344116162
4,8,8,0.3138497654847488
4,8,9,0.35495560043330926
4,8,10,0.2767110286862947
4,8,11,0.28830712244733725
4,8,12,0.2888676768909264
4,8,13,0.2937228425145036
4,8,14,0.8589703662038
4,8,15,0.28131531449179953
4,8,16,0.2635113217329529
4,8,17,0.26020075966225326
4,8,18,0.2190170103731233
4,8,19,0.20514788272619117
4,8,20,0.2650739519069212
4,8,21,1.4157896108804673
4,8,22,1.4747090905642755
4,8,23,1.04073377561203
4,9,0,0.8672428169862079
4,9,1,0.8755535455090133
4,9,2,0.7202963494432331
